FID,AFFGEOID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
,0500000US01001,1,ALABAMA,AL,Autauga,1001,"Autauga County, Alabama",594.436633,55136,0,22431,67,20304,458,7006,935,2252,352,24644,780,5012,561,7321,84,14214,0,8700,674,1649,300.2,13103,109,249,138.5,842,344.4,4401,367,530,231.2,1081,218,442,133,12.8,1.7,8.5,1.3,24644,780,13.8,1.5,13.3,0.2,25.8,0,16,1.2,8.1,1.5,23.8,0.2,0.5,0.3,3.8,1.5,19.6,1.6,2.6,1.1,5.3,1.1,0.8,0.2,0.2833,0.5174,0.3913,0.5126,1.7046,0.4145,0.198,0.8532,0.5762,0.433,2.0605,0.5387,0.6332,0.3722,1.0054,0.4986,0.6135,0.7701,0.7011,0.382,0.0863,2.553,0.51,7.3235,0.4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5814,674,10.7,1.2,43534
,0500000US01003,1,ALABAMA,AL,Baldwin,1003,"Baldwin County, Alabama",1589.807284,191205,0,105563,168,73058,1241,25988,2457,7856,918,26851,712,14615,1051,33782,151,43186,0,26603,1468,5027,603.7,32158,162,2571,658.6,18988,1015,12200,821,998,265.6,2242,308,2611,405,13.8,1.3,8.6,1,26851,712,11,0.8,17.7,0.1,22.6,0,14.1,0.8,6.9,0.8,16.8,0.1,1.4,0.4,18,1,11.6,0.8,1.4,0.4,3.1,0.4,1.4,0.2,0.3531,0.5288,0.2467,0.3225,1.4511,0.3372,0.6281,0.4597,0.3983,0.2372,1.7233,0.2811,0.5336,0.6778,1.2114,0.6288,0.9733,0.5183,0.3098,0.0844,0.2865,2.1722,0.3238,6.5581,0.3432,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,27758,2097,14.7,1.1,177010
,0500000US01005,1,ALABAMA,AL,Barbour,1005,"Barbour County, Alabama",884.8766536,27119,0,11833,120,9145,311,5832,639,1527,282,17350,821,4790,341,4180,81,5862,27,4856,379,1098,160.7,14614,166,549,261.6,129,68.6,3175,270,178,83.6,802,152,2869,290,24.1,2.6,14.2,2.5,17350,821,25.4,1.8,15.4,0.3,21.6,0.1,20,1.5,12,1.7,53.9,0.6,2.2,1,1.1,0.6,26.8,2.3,1.9,0.9,8.8,1.6,10.6,1.1,0.8736,0.9319,0.9274,0.9236,3.6565,0.9628,0.3964,0.3327,0.8475,0.8937,2.4702,0.8195,0.9086,0.772,1.6807,0.8898,0.2006,0.9064,0.5317,0.8341,0.9414,3.4142,0.9089,11.2216,0.9742,0,1,1,1,3,0,0,0,0,0,1,0,1,0,1,0,0,1,2,6,3760,412,15.5,1.7,29769
,0500000US01007,1,ALABAMA,AL,Bibb,1007,"Bibb County, Alabama",622.582431,22653,0,8985,66,7078,390,3596,770,975,310,18110,1477,3466,500,3209,84,4903,0,3343,429,637,211.3,5717,21,112,110.9,163,97.6,2379,314,17,25.8,299,103,1576,177,17,3.6,10.9,3.4,18110,1477,22.1,3.2,14.2,0.4,21.6,0,15.8,2,9,2.9,25.2,0.1,0.5,0.5,1.8,1.1,26.5,3.5,0.2,0.4,4.2,1.5,7,0.8,0.5565,0.765,0.8949,0.836,3.0525,0.8201,0.2677,0.3368,0.5571,0.5804,1.7421,0.2948,0.6517,0.3961,1.0478,0.5237,0.3499,0.9019,0.0216,0.2073,0.8781,2.3588,0.4152,8.2012,0.6278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2725,554,12.9,2.6,19274
,0500000US01009,1,ALABAMA,AL,Blount,1009,"Blount County, Alabama",644.8064845,57645,0,23868,77,20934,399,9866,947,2291,358,20501,719,8567,697,9172,89,13877,33,9729,748,1650,299.2,6825,52,954,222.2,215,95.2,5497,482,344,142.4,823,180,572,147,17.3,1.7,9.3,1.4,20501,719,21.9,1.8,15.9,0.2,24.1,0.1,17,1.3,7.9,1.4,11.8,0.1,1.8,0.4,0.9,0.4,23,2,1.6,0.7,3.9,0.9,1,0.3,0.5782,0.6074,0.7348,0.8287,2.7491,0.7348,0.4429,0.6714,0.6587,0.3903,2.1633,0.6199,0.4247,0.7297,1.1544,0.5864,0.1649,0.8488,0.4167,0.1713,0.1407,1.7424,0.1563,7.8093,0.5581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6922,660,12.1,1.2,41857
,0500000US01011,1,ALABAMA,AL,Bullock,1011,"Bullock County, Alabama",622.805094,10693,0,4469,100,3746,216,2085,477,809,187,17706,1557,2511,319,1529,0,2283,0,2049,309,535,179.6,8321,18,257,250.7,65,50.6,1438,228,122,118.7,703,188,576,248,20.5,4.7,17.4,3.6,17706,1557,34.5,4.4,14.3,0,21.4,0,20.2,3,14.3,4.7,77.8,0.2,2.6,2.5,1.5,1.1,32.2,5,3.3,3.2,18.8,5,5.4,2.3,0.7561,0.9787,0.9115,0.9901,3.6364,0.958,0.2767,0.3044,0.858,0.9659,2.405,0.7826,0.9819,0.8042,1.7861,0.9322,0.2767,0.9577,0.8103,0.9898,0.8259,3.8602,0.9866,11.6877,0.9914,0,1,1,1,3,0,0,0,1,1,1,0,1,0,1,0,1,0,2,7,1791,313,17.6,3,10639
,0500000US01013,1,ALABAMA,AL,Butler,1013,"Butler County, Alabama",776.8280429,20523,0,9934,67,8253,252,5239,517,1075,177,18115,832,3288,278,3592,72,4835,50,4301,284,1104,173.7,9517,22,82,100.2,136,67.7,2397,203,95,49.2,701,127,270,146,25.9,2.6,12.2,1.9,18115,832,23.4,2,17.5,0.3,23.6,0.2,21.2,1.4,13.4,2.1,46.4,0.1,0.4,0.5,1.4,0.7,24.1,2.1,1.2,0.6,8.5,1.5,1.3,0.7,0.9099,0.8497,0.8943,0.8809,3.5349,0.9373,0.61,0.6024,0.8997,0.9478,3.0599,0.9895,0.8663,0.3416,1.2079,0.6259,0.2601,0.865,0.2159,0.8112,0.2655,2.4177,0.4397,10.2203,0.9016,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2603,327,12.8,1.6,19896
,0500000US01015,1,ALABAMA,AL,Calhoun,1015,"Calhoun County, Alabama",605.8889307,117186,0,53306,209,45348,705,24794,1491,7257,594,21306,573,15674,787,17820,95,26337,0,21597,861,4406,500.8,31315,68,915,240.9,2025,296.9,7467,511,575,165,2562,307,2768,500,21.7,1.3,13.5,1.1,21306,573,19.9,1,15.2,0.1,22.5,0,18.7,0.7,9.7,1.1,26.7,0.1,0.8,0.2,3.8,0.6,14,1,1.3,0.4,5.6,0.7,2.4,0.4,0.7959,0.9105,0.666,0.7695,3.142,0.8421,0.3747,0.4441,0.7784,0.688,2.2853,0.7106,0.6705,0.5291,1.1996,0.6211,0.6183,0.6068,0.2665,0.4451,0.5766,2.5132,0.4839,9.1401,0.7708,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15258,1031,13.2,0.9,127035
,0500000US01017,1,ALABAMA,AL,Chambers,1017,"Chambers County, Alabama",596.5311788,34091,0,16944,50,13901,393,8051,823,1916,304,21240,1482,5367,388,6041,38,7398,26,6701,507,1725,230.5,14440,24,67,98,755,168.4,3049,320,506,142,1238,220,447,105,23.9,2.4,12.7,2,21240,1482,22.5,1.6,17.7,0.1,21.7,0.1,19.9,1.5,12.4,1.6,42.4,0.1,0.2,0.3,4.5,1,18,1.9,3.6,1,8.9,1.6,1.3,0.3,0.8698,0.8717,0.673,0.852,3.2665,0.8777,0.6281,0.3435,0.8424,0.9144,2.7284,0.9242,0.8364,0.1856,1.022,0.5046,0.6718,0.7256,0.8513,0.8386,0.2617,3.3489,0.8902,10.3658,0.9131,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5103,476,15.1,1.4,29718
,0500000US01019,1,ALABAMA,AL,Cherokee,1019,"Cherokee County, Alabama",553.7196921,26042,0,16254,89,11726,451,5370,876,1114,221,22234,1382,3856,373,5004,94,5295,78,5565,552,1035,233.3,2113,21,25,82.4,195,82.2,4921,398,266,136.8,346,98,395,187,21,3.4,9.6,2,22234,1382,20.5,2,19.2,0.4,20.3,0.3,21.7,2.2,8.8,2,8.1,0.1,0.1,0.3,1.2,0.5,30.3,2.5,2.3,1.2,3,0.8,1.5,0.7,0.7727,0.6402,0.5944,0.7889,2.7962,0.7488,0.7571,0.1996,0.9112,0.5527,2.4206,0.7924,0.3181,0.0993,0.4174,0.1675,0.2241,0.9456,0.6253,0.077,0.3505,2.2225,0.3464,7.8567,0.5661,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,3278,504,12.8,2,20796
