"state","county","sex","total_arc_mean","total_arc_lb","total_arc_ub","daily_arc_mean","daily_arc_lb","daily_arc_ub"
"National","","Males",-1.3,-1.42,-1.16,-2.37,-2.53,-2.22
"National","","Females",-1.37,-1.5,-1.23,-2.21,-2.38,-2.06
"National","","Both",-1.33,-1.46,-1.2,-2.3,-2.46,-2.14
"Alabama","","Males",-0.71,-0.94,-0.44,-1.56,-1.83,-1.28
"Alabama","","Females",-0.57,-0.85,-0.27,-1.28,-1.63,-0.95
"Alabama","","Both",-0.65,-0.9,-0.36,-1.43,-1.73,-1.14
"Alabama","Autauga County","Males",-0.73,-1.93,0.54,-1.77,-3.11,-0.42
"Alabama","Autauga County","Females",-0.1,-1.62,1.53,-0.79,-2.54,1.07
"Alabama","Autauga County","Both",-0.42,-1.79,1.01,-1.3,-2.77,0.29
"Alabama","Baldwin County","Males",-1.16,-2.3,0.09,-1.86,-3.14,-0.52
"Alabama","Baldwin County","Females",-1.47,-3.01,0.1,-1.65,-3.44,0.21
"Alabama","Baldwin County","Both",-1.3,-2.63,0.09,-1.77,-3.27,-0.18
"Alabama","Barbour County","Males",-0.44,-1.58,0.81,-1.27,-2.57,0.16
"Alabama","Barbour County","Females",-0.83,-2.51,0.98,-1.81,-3.71,0.31
"Alabama","Barbour County","Both",-0.6,-1.96,0.87,-1.49,-3.04,0.14
"Alabama","Bibb County","Males",-0.63,-1.81,0.52,-1.35,-2.62,0
"Alabama","Bibb County","Females",0.51,-1.23,2.18,0.03,-1.78,1.9
"Alabama","Bibb County","Both",-0.11,-1.59,1.23,-0.72,-2.17,0.82
"Alabama","Blount County","Males",-0.71,-1.97,0.47,-1.38,-2.79,-0.04
"Alabama","Blount County","Females",-0.2,-1.82,1.35,-1.29,-3.25,0.47
"Alabama","Blount County","Both",-0.46,-1.91,0.89,-1.34,-2.97,0.21
"Alabama","Bullock County","Males",-0.17,-1.46,1,-1.24,-2.69,0.19
"Alabama","Bullock County","Females",-0.34,-2.48,1.64,-1.13,-3.33,1.27
"Alabama","Bullock County","Both",-0.24,-1.86,1.26,-1.2,-2.9,0.55
"Alabama","Butler County","Males",-0.33,-1.58,0.79,-1.28,-2.79,0.06
"Alabama","Butler County","Females",0.88,-0.9,2.52,-0.03,-2.08,1.84
"Alabama","Butler County","Both",0.19,-1.29,1.51,-0.74,-2.46,0.8
"Alabama","Calhoun County","Males",-0.04,-1.2,1.04,-0.95,-2.32,0.29
"Alabama","Calhoun County","Females",-0.93,-2.46,0.46,-1.65,-3.41,-0.13
"Alabama","Calhoun County","Both",-0.45,-1.78,0.78,-1.27,-2.8,0.03
"Alabama","Chambers County","Males",-0.4,-1.63,0.81,-1.15,-2.59,0.21
