fips,name,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_2020_5,pct_fs_risk_2020_5,count_fs_risk_2050_5,pct_fs_risk_2050_5,count_fs_risk_2020_100,pct_fs_risk_2020_100,count_fs_risk_2050_100,pct_fs_risk_2050_100,count_fs_risk_2020_500,pct_fs_risk_2020_500,count_fs_risk_2050_500,pct_fs_risk_2050_500,count_fs_fema_difference_2020,pct_fs_fema_difference_2020,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_2020_100,avg_risk_fsf_2020_500,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
1001,Autauga,29676,1652,5.6,1190,4,1289,4.3,2980,10,3121,10.5,3787,12.8,3912,13.2,1328,4.5,1.75,6.66,7.59,6.81,6.19,1.48,25761,142,319,325,225,1032,548,121,635,568
1003,Baldwin,138266,19486,14.1,6396,4.6,11261,8.1,24137,17.5,27024,19.5,29453,21.3,33082,23.9,4651,3.4,2.31,6.48,7.55,6.94,6.94,1.55,105173,1850,2865,2321,2624,9386,2609,1013,7031,3394
1005,Barbour,23155,924,4,1064,4.6,1147,5,2017,8.7,2099,9.1,2319,10,2464,10.6,1093,4.7,1.66,7.22,8.09,7.53,6.12,1.48,20691,149,117,113,114,452,380,72,497,570
1007,Bibb,14970,916,6.1,1119,7.5,1164,7.8,1705,11.4,1747,11.7,1922,12.8,1965,13.1,789,5.3,1.89,7.75,8.38,7.87,6.2,1.6,13005,45,85,103,74,276,264,51,487,580
1009,Blount,41304,931,2.3,2880,7,3001,7.3,4347,10.5,4489,10.9,4946,12,5093,12.3,3416,8.3,1.83,7.74,8.45,7.91,7.34,1.7,36205,154,232,240,204,700,619,182,1204,1564
1011,Bullock,9312,754,8.1,587,6.3,614,6.6,963,10.3,1009,10.8,1084,11.6,1112,11.9,209,2.2,1.79,7.63,8.24,7.77,5.25,1.49,8200,32,37,46,65,150,165,57,312,248
1013,Butler,18884,769,4.1,978,5.2,1010,5.3,1783,9.4,1824,9.7,1977,10.5,2039,10.8,1014,5.4,1.71,7.53,8.12,7.7,5.8,1.53,16844,63,72,91,112,323,309,98,515,457
1015,Calhoun,72237,4287,5.9,4737,6.6,5236,7.2,11374,15.7,11942,16.5,13434,18.6,13888,19.2,7087,9.8,2.16,7.01,7.77,7.18,6.77,1.87,58330,493,643,955,785,2887,2527,606,3094,1917
1017,Chambers,24214,813,3.4,770,3.2,825,3.4,1545,6.4,1633,6.7,1964,8.1,2039,8.4,732,3,1.51,7.02,8.07,7.19,6.74,1.32,22175,83,116,211,104,358,300,46,392,429
1019,Cherokee,32541,6589,20.2,3287,10.1,3412,10.5,8360,25.7,8422,25.9,9668,29.7,9750,30,1771,5.4,2.84,7.12,7.73,7.18,6.81,1.83,22764,179,544,704,470,2406,1350,350,1985,1789
