GISJOIN,YEAR,STATEID,COUNTYID,FID,NID,TRACTID
72049990501,2010,72,49,0,0,72049990501
72049950500,2010,72,49,1,1,72049950500
72027320401,2010,72,27,2,2,72027320401
72027320402,2010,72,27,3,3,72027320402
72045951900,2010,72,45,4,4,72045951900
72045951800,2010,72,45,5,5,72045951800
72045952000,2010,72,45,6,6,72045952000
72045952100,2010,72,45,7,7,72045952100
72045951700,2010,72,45,8,8,72045951700
72059740101,2010,72,59,9,9,72059740101
72059740102,2010,72,59,10,10,72059740102
72059740300,2010,72,59,11,11,72059740300
72059740200,2010,72,59,12,12,72059740200
72059740400,2010,72,59,13,13,72059740400
72059990001,2010,72,59,14,14,72059990001
72113073009,2010,72,113,15,15,72113073009
72113073010,2010,72,113,16,16,72113073010
72113070300,2010,72,113,17,17,72113070300
72113071000,2010,72,113,18,18,72113071000
72113070800,2010,72,113,19,19,72113070800
72113070202,2010,72,113,20,20,72113070202
72113070201,2010,72,113,21,21,72113070201
72027320200,2010,72,27,22,22,72027320200
72027320600,2010,72,27,23,23,72027320600
72027320100,2010,72,27,24,24,72027320100
72027320500,2010,72,27,25,25,72027320500
72027320300,2010,72,27,26,26,72027320300
72027990000,2010,72,27,27,27,72027990000
72043954400,2010,72,43,28,28,72043954400
72043954100,2010,72,43,29,29,72043954100
72043954200,2010,72,43,30,30,72043954200
72043954300,2010,72,43,31,31,72043954300
72043954500,2010,72,43,32,32,72043954500
72043954000,2010,72,43,33,33,72043954000
72043953900,2010,72,43,34,34,72043953900
72043954600,2010,72,43,35,35,72043954600
72043954700,2010,72,43,36,36,72043954700
72113072101,2010,72,113,37,37,72113072101
72113071601,2010,72,113,38,38,72113071601
72113072703,2010,72,113,39,39,72113072703
72113072704,2010,72,113,40,40,72113072704
72113072701,2010,72,113,41,41,72113072701
72113072201,2010,72,113,42,42,72113072201
72113070503,2010,72,113,43,43,72113070503
72113070522,2010,72,113,44,44,72113070522
72113070502,2010,72,113,45,45,72113070502
72113070514,2010,72,113,46,46,72113070514
72113070400,2010,72,113,47,47,72113070400
72113072900,2010,72,113,48,48,72113072900
72113073008,2010,72,113,49,49,72113073008
72113071200,2010,72,113,50,50,72113071200
72113072500,2010,72,113,51,51,72113072500
72113072400,2010,72,113,52,52,72113072400
72113071900,2010,72,113,53,53,72113071900
72113071800,2010,72,113,54,54,72113071800
72113071700,2010,72,113,55,55,72113071700
72033980008,2010,72,33,56,56,72033980008
72033020500,2010,72,33,57,57,72033020500
72033020426,2010,72,33,58,58,72033020426
72033980006,2010,72,33,59,59,72033980006
72033980004,2010,72,33,60,60,72033980004
72113071602,2010,72,113,61,61,72113071602
72113071500,2010,72,113,62,62,72113071500
72113070900,2010,72,113,63,63,72113070900
72113070100,2010,72,113,64,64,72113070100
72113070513,2010,72,113,65,65,72113070513
72113071401,2010,72,113,66,66,72113071401
72113071300,2010,72,113,67,67,72113071300
72033980001,2010,72,33,68,68,72033980001
72033020422,2010,72,33,69,69,72033020422
72033980003,2010,72,33,70,70,72033980003
72033020425,2010,72,33,71,71,72033020425
72033020427,2010,72,33,72,72,72033020427
72033020302,2010,72,33,73,73,72033020302
72033980002,2010,72,33,74,74,72033980002
72033980005,2010,72,33,75,75,72033980005
72033990201,2010,72,33,76,76,72033990201
72053150601,2010,72,53,77,77,72053150601
72053150602,2010,72,53,78,78,72053150602
72053990103,2010,72,53,79,79,72053990103
72053150104,2010,72,53,80,80,72053150104
72053150102,2010,72,53,81,81,72053150102
72053150500,2010,72,53,82,82,72053150500
72053150301,2010,72,53,83,83,72053150301
72053150200,2010,72,53,84,84,72053150200
72053150302,2010,72,53,85,85,72053150302
72053150400,2010,72,53,86,86,72053150400
72083959700,2010,72,83,87,87,72083959700
72083959800,2010,72,83,88,88,72083959800
72083959900,2010,72,83,89,89,72083959900
72113073006,2010,72,113,90,90,72113073006
72113073005,2010,72,113,91,91,72113073005
72113073004,2010,72,113,92,92,72113073004
72113073003,2010,72,113,93,93,72113073003
72113071402,2010,72,113,94,94,72113071402
72113073002,2010,72,113,95,95,72113073002
72113073001,2010,72,113,96,96,72113073001
72113072102,2010,72,113,97,97,72113072102
72113072000,2010,72,113,98,98,72113072000
72113072300,2010,72,113,99,99,72113072300
